"Problem","Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"1","3","/Users/madhavimailaram/Downloads/DHS/force-app/main/default/classes/DHSCDRLReportsControllerV2.cls","3","21","ExcessiveClassLength","Avoid really long classes.","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_design.html#excessiveclasslength","Design","pmd"
"2","3","/Users/madhavimailaram/Downloads/DHS/force-app/main/default/classes/DHSCaseDashboardController.cls","46","19","FieldDeclarationsShouldBeAtStart","Field declaration for 'nextURL' should be before method declarations in its class","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_codestyle.html#fielddeclarationsshouldbeatstart","Code Style","pmd"
"3","3","/Users/madhavimailaram/Downloads/DHS/force-app/main/default/classes/DHSCaseDashboardController.cls","53","18","FieldDeclarationsShouldBeAtStart","Field declaration for 'records' should be before method declarations in its class","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_codestyle.html#fielddeclarationsshouldbeatstart","Code Style","pmd"
"4","3","/Users/madhavimailaram/Downloads/DHS/force-app/main/default/classes/DHSCaseDetailController.cls","50","19","FieldDeclarationsShouldBeAtStart","Field declaration for 'nextURL' should be before method declarations in its class","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_codestyle.html#fielddeclarationsshouldbeatstart","Code Style","pmd"
"5","3","/Users/madhavimailaram/Downloads/DHS/force-app/main/default/classes/DHSForesiteFileUploadPageController.cls","9","41","FieldDeclarationsShouldBeAtStart","Field declaration for 'controller' should be before method declarations in its class","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_codestyle.html#fielddeclarationsshouldbeatstart","Code Style","pmd"
"6","3","/Users/madhavimailaram/Downloads/DHS/force-app/main/default/classes/DHSInvoiceModuleController.cls","54","34","FieldDeclarationsShouldBeAtStart","Field declaration for 'PAGE_SIZE' should be before method declarations in its class","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_codestyle.html#fielddeclarationsshouldbeatstart","Code Style","pmd"
"7","3","/Users/madhavimailaram/Downloads/DHS/force-app/main/default/classes/DHSLoginPageController.cls","17","26","FieldDeclarationsShouldBeAtStart","Field declaration for 'systemACCESS' should be before method declarations in its class","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_codestyle.html#fielddeclarationsshouldbeatstart","Code Style","pmd"
"8","3","/Users/madhavimailaram/Downloads/DHS/force-app/main/default/classes/DHSLoginPageController.cls","18","15","FieldDeclarationsShouldBeAtStart","Field declaration for 'oTPrecId' should be before method declarations in its class","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_codestyle.html#fielddeclarationsshouldbeatstart","Code Style","pmd"
"9","3","/Users/madhavimailaram/Downloads/DHS/force-app/main/default/classes/DHSSubjectFileUploadPageController.cls","10","41","FieldDeclarationsShouldBeAtStart","Field declaration for 'controller' should be before method declarations in its class","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_codestyle.html#fielddeclarationsshouldbeatstart","Code Style","pmd"
"10","3","/Users/madhavimailaram/Downloads/DHS/force-app/main/default/triggers/DHSCaseTrigger.trigger","18","17","AvoidDeeplyNestedIfStmts","Deeply nested if..then statements are hard to read","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_design.html#avoiddeeplynestedifstmts","Design","pmd"
